id,object_id,change_id,change_id_end,type_id,value,update_date,start_date,end_date,raw_attributes
1439669442,67020241,544116276,0,21,45374000,2023-09-23,2023-09-23,2079-06-06,"{""ID"": ""1439669442"", ""VALUE"": ""45374000"", ""TYPEID"": ""21"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""544116276"", ""OBJECTID"": ""67020241"", ""STARTDATE"": ""2023-09-23"", ""UPDATEDATE"": ""2023-09-23"", ""CHANGEIDEND"": ""0""}"
375996091,67032388,99953632,0,1,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996091"", ""VALUE"": ""7704"", ""TYPEID"": ""1"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375996095,67032388,99953632,0,2,7704,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996095"", ""VALUE"": ""7704"", ""TYPEID"": ""2"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375996118,67032388,99953632,0,5,119002,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996118"", ""VALUE"": ""119002"", ""TYPEID"": ""5"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375996112,67032388,99953632,0,6,45286552000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996112"", ""VALUE"": ""45286552000"", ""TYPEID"": ""6"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
375996105,67032388,99953632,0,7,45374000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996105"", ""VALUE"": ""45374000"", ""TYPEID"": ""7"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
1359938991,67032388,486748344,583401300,8,77:01:0001058:1008,2024-01-09,2022-11-25,2024-01-09,"{""ID"": ""1359938991"", ""VALUE"": ""77:01:0001058:1008"", ""TYPEID"": ""8"", ""ENDDATE"": ""2024-01-09"", ""CHANGEID"": ""486748344"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""2022-11-25"", ""UPDATEDATE"": ""2024-01-09"", ""CHANGEIDEND"": ""583401300""}"
1495167672,67032388,583401300,619570136,8,77:01:0001058:2789,2025-01-27,2024-01-09,2025-01-27,"{""ID"": ""1495167672"", ""VALUE"": ""77:01:0001058:2789"", ""TYPEID"": ""8"", ""ENDDATE"": ""2025-01-27"", ""CHANGEID"": ""583401300"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""2024-01-09"", ""UPDATEDATE"": ""2025-01-27"", ""CHANGEIDEND"": ""619570136""}"
1567851035,67032388,619570136,0,8,77:01:0001058:1008,2025-01-27,2025-01-27,2079-06-06,"{""ID"": ""1567851035"", ""VALUE"": ""77:01:0001058:1008"", ""TYPEID"": ""8"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""619570136"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""2025-01-27"", ""UPDATEDATE"": ""2025-01-27"", ""CHANGEIDEND"": ""0""}"
375996126,67032388,99953632,0,13,453740000000000075820021000000000,2019-02-23,1900-01-01,2079-06-06,"{""ID"": ""375996126"", ""VALUE"": ""453740000000000075820021000000000"", ""TYPEID"": ""13"", ""ENDDATE"": ""2079-06-06"", ""CHANGEID"": ""99953632"", ""OBJECTID"": ""67032388"", ""STARTDATE"": ""1900-01-01"", ""UPDATEDATE"": ""2019-02-23"", ""CHANGEIDEND"": ""0""}"
